word,reading,english_meaning,vietnamese_meaning,vietnamese_explanation,source,page,notes
胸半棘筋,きょうはんきょくきん,semispinalis thoracis,cơ bán gai ngực,"Một phần của nhóm cơ bán gai sâu ở lưng, giúp duỗi và xoay cột sống ngực.",STOTT PILATES解剖学資料.pdf,3,
胸棘筋,きょうきょくきん,spinalis thoracis,cơ gai ngực,"Một phần của nhóm cơ dựng sống, giúp duỗi và ổn định cột sống ngực.",STOTT PILATES解剖学資料.pdf,3,
胸椎,きょうつい,thoracic vertebrae,đốt sống ngực,"Mười hai đốt sống ở đoạn giữa cột sống, nối với các xương sườn.",STOTT PILATES解剖学資料.pdf,3,
胸腸肋筋,きょうちょうろくきん,iliocostalis thoracis,cơ chậu-sườn ngực,"Một phần của nhóm cơ dựng sống, giúp duỗi, nghiêng bên và ổn định cột sống ngực.",STOTT PILATES解剖学資料.pdf,3,
胸郭,きょうかく,thoracic cage / rib cage,lồng ngực,"Cấu trúc gồm đốt sống ngực, xương sườn, sụn sườn và xương ức, bảo vệ tim và phổi.",STOTT PILATES解剖学資料.pdf,3,
胸鎖乳突筋,きょうさにゅうとつきん,sternocleidomastoid muscle,cơ ức-đòn-chũm,"Cơ lớn ở bên cổ, giúp xoay đầu sang phía đối diện, nghiêng cổ và hỗ trợ gấp cổ.",STOTT PILATES解剖学資料.pdf,3,
胸骨,きょうこつ,sternum,xương ức,"Xương dẹt ở giữa ngực trước, nơi nhiều xương sườn nối vào qua sụn sườn.",STOTT PILATES解剖学資料.pdf,3,
胸骨部,きょうこつぶ,sternal part,phần ức,"Chỉ phần của một cơ hoặc cấu trúc liên quan đến xương ức, ví dụ phần ức của cơ ngực lớn.",STOTT PILATES解剖学資料.pdf,3,
脊柱,せきちゅう,vertebral column / spine,cột sống,"Chuỗi các đốt sống từ cổ đến xương cùng, nâng đỡ cơ thể và bảo vệ tủy sống.",STOTT PILATES解剖学資料.pdf,3,
脊柱と胸郭,せきちゅうときょうかく,vertebral column and thoracic cage,cột sống và lồng ngực,"Hai hệ cấu trúc xương trung tâm của thân mình, quan trọng cho tư thế, bảo vệ nội tạng và hô hấp.",STOTT PILATES解剖学資料.pdf,3,
脊柱の後面,せきちゅうのこうめん,posterior aspect of the vertebral column,mặt sau của cột sống,"Chỉ vùng phía sau cột sống, nơi có nhiều cơ duỗi và ổn định lưng.",筋肉リスト.pdf,1,
脊柱の深層筋,せきちゅうのしんそうきん,deep muscles of the vertebral column,các cơ sâu của cột sống,"Nhóm cơ nằm sát các đốt sống, chủ yếu có vai trò ổn định, kiểm soát tư thế và các chuyển động nhỏ.",STOTT PILATES解剖学資料.pdf,3,
脚と足,あしとあし,leg and foot,cẳng chân và bàn chân / chân và bàn chân,Cụm chỉ các phần chi dưới ở phía dưới gối và vùng bàn chân trong ngữ cảnh giải phẫu.,STOTT PILATES解剖学資料.pdf,4,
腓腹筋,ひふくきん,gastrocnemius muscle,cơ bụng chân,"Cơ lớn nông ở bắp chân, giúp gấp gan chân và hỗ trợ gấp gối.",STOTT PILATES解剖学資料.pdf,4,
腕橈骨筋,わんとうこつきん,brachioradialis muscle,cơ cánh tay quay,"Cơ ở cẳng tay giúp gấp khuỷu, đặc biệt khi cẳng tay ở tư thế trung gian giữa sấp và ngửa.",STOTT PILATES解剖学資料.pdf,3,
腰方形筋,ようほうけいきん,quadratus lumborum,cơ vuông thắt lưng,"Cơ sâu ở thành bụng sau, giúp nghiêng thân, ổn định cột sống thắt lưng và cố định xương sườn 12 khi thở.",STOTT PILATES解剖学資料.pdf,3,
腰椎,ようつい,lumbar vertebrae,đốt sống thắt lưng,"Năm đốt sống lớn ở vùng lưng dưới, chịu phần lớn tải trọng của thân trên.",STOTT PILATES解剖学資料.pdf,3,
腰腸肋筋,ようちょうろくきん,iliocostalis lumborum,cơ chậu-sườn thắt lưng,"Phần thấp của nhóm cơ dựng sống, giúp duỗi, nghiêng bên và ổn định cột sống.",STOTT PILATES解剖学資料.pdf,3,
腸骨,ちょうこつ,ilium,xương cánh chậu,"Phần lớn và trên của xương hông, tạo nên phần rộng của xương chậu.",STOTT PILATES解剖学資料.pdf,4,
腸骨筋,ちょうこつきん,iliacus muscle,cơ chậu,"Cơ nằm trong hố chậu, hợp với cơ thắt lưng lớn thành cơ thắt lưng-chậu và giúp gấp hông.",STOTT PILATES解剖学資料.pdf,4,
腹横筋,ふくおうきん,transversus abdominis,cơ ngang bụng,"Cơ sâu nhất của thành bụng bên, giúp nén ổ bụng và ổn định thân, cột sống và xương chậu.",STOTT PILATES解剖学資料.pdf,3,
腹直筋,ふくちょくきん,rectus abdominis,cơ thẳng bụng,"Cơ chạy dọc thành bụng trước, giúp gấp thân và hỗ trợ kiểm soát xương chậu.",STOTT PILATES解剖学資料.pdf,3,
膝窩筋,しつかきん,popliteus muscle,cơ khoeo,"Cơ nhỏ phía sau gối, giúp khởi đầu động tác mở khóa gối khi bắt đầu gấp và hỗ trợ ổn định khớp.",STOTT PILATES解剖学資料.pdf,4,
膝関節,しつかんせつ,knee joint,khớp gối,"Khớp lớn giữa xương đùi, xương chày và xương bánh chè, chủ yếu cho phép gấp và duỗi.",STOTT PILATES解剖学資料.pdf,4,
補助筋,ほじょきん,synergist / assisting muscle,cơ hiệp đồng / cơ hỗ trợ,Cơ hỗ trợ cơ chủ vận tạo chuyển động hoặc giúp ổn định khớp để chuyển động diễn ra hiệu quả.,STOTT PILATES解剖学資料.pdf,1,
解剖学において人体を記述する際に,かいぼうがくにおいてじんたいをきじゅつするさいに,when describing the human body in anatomy (fragment),khi mô tả cơ thể người trong giải phẫu,"Mảnh câu giới thiệu nguyên tắc dùng tư thế và thuật ngữ chuẩn để mô tả vị trí, hướng và chuyển động.",STOTT PILATES解剖学資料.pdf,1,
解剖学的肢位とは,かいぼうがくてきしいとは,what is the anatomical position?,tư thế giải phẫu là gì?,"Cụm hỏi về tư thế giải phẫu chuẩn: đứng thẳng, mặt hướng trước, tay xuôi với lòng bàn tay hướng ra trước.",STOTT PILATES解剖学資料.pdf,1,
試験範囲となっています,しけんはんいとなっています,is included in the exam scope,nằm trong phạm vi thi,Cụm cho biết nội dung đó vẫn có thể xuất hiện trong bài kiểm tra hoặc kỳ thi.,筋肉リスト.pdf,1,
足底筋,そくていきん,plantaris muscle,cơ gan chân,Một cơ nhỏ ở mặt sau cẳng chân với gân dài; hỗ trợ nhẹ gấp gan chân và gấp gối.,STOTT PILATES解剖学資料.pdf,4,
足関節,そくかんせつ,ankle joint,khớp cổ chân,"Khớp nối cẳng chân với bàn chân, đặc biệt liên quan đến động tác gấp mu và gấp gan chân.",STOTT PILATES解剖学資料.pdf,2,
身体の前面,しんたいのぜんめん,front/anterior side of the body,mặt trước cơ thể,Chỉ phía trước của cơ thể theo tư thế giải phẫu chuẩn.,STOTT PILATES解剖学資料.pdf,3,
身体の動き,しんたいのうごき,body movements,chuyển động của cơ thể,Nhóm thuật ngữ mô tả cách các khớp và bộ phận cơ thể di chuyển.,STOTT PILATES解剖学資料.pdf,1,
身体の後面,しんたいのこうめん,back/posterior side of the body,mặt sau cơ thể,Chỉ phía sau của cơ thể theo tư thế giải phẫu chuẩn.,STOTT PILATES解剖学資料.pdf,3,
身体の方向を表す,しんたいのほうこうをあらわす,expresses/describes body direction (fragment),mô tả hướng của cơ thể,Mảnh câu nói về các thuật ngữ hoặc mặt phẳng dùng để biểu thị phương hướng trong giải phẫu.,筋肉リスト.pdf,2,
身体の構造,しんたいのこうぞう,structure of the body,cấu trúc cơ thể,"Chủ đề nói về các thành phần như cơ, xương, gân, dây chằng và mạc.",STOTT PILATES解剖学資料.pdf,1,
身体の部位,しんたいのぶい,regions/parts of the body,các vùng / bộ phận cơ thể,Chủ đề phân chia cơ thể thành các vùng giải phẫu để học cấu trúc và vận động.,STOTT PILATES解剖学資料.pdf,3,
運動面,うんどうめん,planes of movement,mặt phẳng vận động,"Các mặt phẳng giải phẫu dùng để mô tả hướng chuyển động, thường gồm mặt phẳng dọc, trán và ngang.",STOTT PILATES解剖学資料.pdf,1,
錐体筋,すいたいきん,pyramidalis muscle,cơ tháp,"Cơ nhỏ ở phần dưới thành bụng trước, giúp căng đường trắng giữa bụng; không phải ai cũng có cơ này.",STOTT PILATES解剖学資料.pdf,3,
鎖骨,さこつ,clavicle / collarbone,xương đòn,"Xương dài nằm ngang ở phía trước vai, nối xương ức với xương bả vai.",STOTT PILATES解剖学資料.pdf,3,
鎖骨下筋,さこつかきん,subclavius muscle,cơ dưới đòn,"Cơ nhỏ nằm dưới xương đòn, giúp kéo và ổn định xương đòn.",STOTT PILATES解剖学資料.pdf,3,
鎖骨部繊維,さこつぶせんい,clavicular fibers,các sợi phần đòn,"Chỉ các sợi cơ bám hoặc liên quan đến xương đòn, ví dụ phần đòn của cơ ngực lớn.",STOTT PILATES解剖学資料.pdf,3,
長内転筋,ちょうないてんきん,adductor longus,cơ khép dài,"Cơ ở mặt trong đùi, giúp khép hông và hỗ trợ gấp hông.",STOTT PILATES解剖学資料.pdf,4,
長回旋筋と短回旋筋,ちょうかいせんきんとたんかいせんきん,long and short rotatores muscles,cơ xoay dài và cơ xoay ngắn,"Các cơ sâu nhỏ giữa các đốt sống, giúp xoay nhẹ và ổn định cột sống.",STOTT PILATES解剖学資料.pdf,3,
長母趾伸筋,ちょうぼししんきん,extensor hallucis longus,cơ duỗi dài ngón cái chân,"Cơ ở cẳng chân trước, giúp duỗi ngón cái và gấp mu bàn chân.",STOTT PILATES解剖学資料.pdf,4,
長母趾屈筋,ちょうぼしくっきん,flexor hallucis longus,cơ gấp dài ngón cái chân,"Cơ sâu ở mặt sau cẳng chân, giúp gấp ngón cái và hỗ trợ gấp gan chân, quan trọng khi đẩy người về trước.",STOTT PILATES解剖学資料.pdf,4,
長肋骨挙筋と短肋骨挙筋,ちょうろっこつきょきんとたんろっこつきょきん,levatores costarum longi and breves,cơ nâng sườn dài và ngắn,Các cơ nhỏ ở lưng ngực giúp nâng xương sườn và có thể hỗ trợ hít vào cũng như vận động cột sống.,STOTT PILATES解剖学資料.pdf,3,
長腓骨筋,ちょうひこつきん,fibularis longus / peroneus longus,cơ mác dài,"Cơ ở mặt ngoài cẳng chân, giúp nghiêng bàn chân ra ngoài, hỗ trợ gấp gan chân và nâng đỡ vòm bàn chân.",STOTT PILATES解剖学資料.pdf,4,
長趾伸筋,ちょうししんきん,extensor digitorum longus,cơ duỗi dài các ngón chân,"Cơ ở cẳng chân trước, giúp duỗi các ngón 2–5 và gấp mu bàn chân.",STOTT PILATES解剖学資料.pdf,4,
長趾屈筋,ちょうしくっきん,flexor digitorum longus,cơ gấp dài các ngón chân,"Cơ sâu ở mặt sau cẳng chân, giúp gấp các ngón 2–5 và hỗ trợ gấp gan chân.",STOTT PILATES解剖学資料.pdf,4,
関節の運動を表す用語,かんせつのうんどうをあらわすようご,terms describing joint movements,thuật ngữ mô tả vận động khớp,"Tiêu đề cho nhóm từ như gấp, duỗi, dạng, khép, xoay, sấp và ngửa.",筋肉リスト.pdf,2,
関節運動を表す用語,かんせつうんどうをあらわすようご,terms describing joint movements,thuật ngữ biểu thị chuyển động khớp,Cách gọi cho hệ thuật ngữ chuẩn dùng để mô tả các chuyển động xảy ra tại khớp.,STOTT PILATES解剖学資料.pdf,2,
靭帯,じんたい,ligament,dây chằng,"Dải mô liên kết chắc nối xương với xương, giúp dẫn hướng và ổn định khớp.",STOTT PILATES解剖学資料.pdf,1,
頚半棘筋,けいはんきょくきん,semispinalis cervicis,cơ bán gai cổ,"Một cơ sâu ở phía sau cổ, giúp duỗi và xoay cột sống cổ.",STOTT PILATES解剖学資料.pdf,3,
頚最長筋,けいさいちょうきん,longissimus cervicis,cơ dài nhất cổ,"Một phần của nhóm cơ dựng sống, giúp duỗi và nghiêng cột sống cổ.",STOTT PILATES解剖学資料.pdf,3,
頚板状筋,けいばんじょうきん,splenius cervicis,cơ gối cổ,"Cơ ở phía sau cổ, giúp duỗi, xoay và nghiêng cổ về cùng bên.",STOTT PILATES解剖学資料.pdf,3,
頚棘筋,けいきょくきん,spinalis cervicis,cơ gai cổ,"Một phần nhỏ của nhóm cơ dựng sống ở cổ, hỗ trợ duỗi và ổn định cột sống cổ.",STOTT PILATES解剖学資料.pdf,3,
頚腸肋筋,けいちょうろくきん,iliocostalis cervicis,cơ chậu-sườn cổ,"Phần trên của nhóm cơ chậu-sườn, giúp duỗi và nghiêng cột sống cổ.",STOTT PILATES解剖学資料.pdf,3,
頚長筋と頭長筋,けいちょうきんととうちょうきん,longus colli and longus capitis muscles,cơ dài cổ và cơ dài đầu,"Hai cơ sâu ở mặt trước cổ, giúp gấp cổ/đầu và ổn định cột sống cổ.",STOTT PILATES解剖学資料.pdf,3,
頭半棘筋,とうはんきょくきん,semispinalis capitis,cơ bán gai đầu,"Cơ sâu phía sau cổ, giúp duỗi đầu và xoay đầu sang phía đối diện.",STOTT PILATES解剖学資料.pdf,3,
頭最長筋,とうさいちょうきん,longissimus capitis,cơ dài nhất đầu,"Cơ sâu ở phía sau cổ, giúp duỗi và nghiêng đầu, đồng thời hỗ trợ xoay đầu.",STOTT PILATES解剖学資料.pdf,3,
頭板状筋,とうばんじょうきん,splenius capitis,cơ gối đầu,"Cơ phía sau cổ, giúp duỗi, nghiêng và xoay đầu về cùng bên.",STOTT PILATES解剖学資料.pdf,3,
頸椎,けいつい,cervical vertebrae,đốt sống cổ,"Bảy đốt sống ở vùng cổ, nâng đỡ đầu và cho phép cổ vận động linh hoạt.",STOTT PILATES解剖学資料.pdf,3,
養成コースにおいて必要な解剖学用語,ようせいコースにおいてひつようなかいぼうがくようご,anatomical terms required in the training course,thuật ngữ giải phẫu cần thiết trong khóa đào tạo,Tiêu đề chỉ các thuật ngữ giải phẫu mà học viên cần biết trong khóa học.,STOTT PILATES解剖学資料.pdf,1,
骨と筋肉,ほねときんにく,bones and muscles,xương và cơ,Hai thành phần chính của hệ vận động; xương tạo khung và cơ tạo lực để tạo chuyển động.,STOTT PILATES解剖学資料.pdf,3,
骨盤,こつばん,pelvis,xương chậu / khung chậu,"Vòng xương ở đáy thân mình, nối cột sống với chi dưới và bảo vệ các cơ quan vùng chậu.",STOTT PILATES解剖学資料.pdf,4,
骨盤底,こつばんてい,pelvic floor,sàn chậu,"Nhóm cơ và mô ở đáy xương chậu, nâng đỡ các cơ quan vùng chậu và góp phần kiểm soát đại tiểu tiện.",STOTT PILATES解剖学資料.pdf,4,
鳥口腕筋,うこうわんきん,coracobrachialis muscle (standard spelling is 烏口腕筋),cơ quạ-cánh tay,Tên nguồn dùng chữ 鳥; cách viết giải phẫu chuẩn thường là 烏口腕筋. Cơ này giúp gấp và khép cánh tay ở khớp vai.,STOTT PILATES解剖学資料.pdf,3,Source spelling; standard anatomical spelling is usually 烏口腕筋.
